1400000US01001020700,01001020700,"Census Tract 207, Autauga County, Alabama",2891,2505,2505,0,386,0
1400000US01001020801,01001020801,"Census Tract 208.01, Autauga County, Alabama",3081,619,619,0,2462,0
1400000US01001020802,01001020802,"Census Tract 208.02, Autauga County, Alabama",10435,2646,2646,0,7789,0
1400000US01001020900,01001020900,"Census Tract 209, Autauga County, Alabama",5675,0,0,0,5675,0
1400000US01001021000,01001021000,"Census Tract 210, Autauga County, Alabama",2894,0,0,0,2894,0
1400000US01001021100,01001021100,"Census Tract 211, Autauga County, Alabama",3320,0,0,0,3320,0
1400000US01003010100,01003010100,"Census Tract 101, Baldwin County, Alabama",3804,0,0,0,3804,0
1400000US01003010200,01003010200,"Census Tract 102, Baldwin County, Alabama",2902,176,0,176,2726,0
1400000US01003010300,01003010300,"Census Tract 103, Baldwin County, Alabama",7826,1460,597,863,6366,0
1400000US01003010400,01003010400,"Census Tract 104, Baldwin County, Alabama",4736,213,0,213,4523,0
1400000US01003010500,01003010500,"Census Tract 105, Baldwin County, Alabama",4815,4269,0,4269,546,0